City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
268,Mortka,RU,59.3322,66.0214,overcast clouds,37.6,98,100,4.32
269,Verkhovazhye,RU,60.7472,42.0465,overcast clouds,40.28,76,100,13.76
270,Port Macquarie,AU,-31.4333,152.9167,clear sky,55.99,96,9,1.99
271,Asosa,ET,10.0667,34.5333,scattered clouds,75.87,13,39,2.37
272,Clyde River,CA,70.4692,-68.5914,few clouds,30.2,74,20,2.3
273,Kodiak,US,57.79,-152.4072,overcast clouds,30.2,69,90,4.18
274,Yulara,AU,-25.2406,130.9889,clear sky,64.4,48,0,11.5
275,Mahina,PF,-17.5065,-149.489,broken clouds,82.4,69,75,13.73
276,Evensk,RU,61.95,159.2333,overcast clouds,5.85,75,100,9.71
277,Houston,US,29.7633,-95.3633,clear sky,81.0,50,1,14.97
278,Sheregesh,RU,52.9209,87.9869,few clouds,28.02,90,15,5.01
279,Kavaratti,IN,10.5669,72.642,clear sky,82.99,72,0,9.42
280,Ibra,OM,22.6906,58.5334,clear sky,75.87,63,0,8.37
281,Tessalit,ML,20.1986,1.0114,clear sky,94.84,8,1,9.78
282,Iracoubo,GF,5.4802,-53.2011,light rain,81.86,73,48,6.76
283,Atar,MR,20.5169,-13.0499,clear sky,98.6,8,0,11.5
284,Rawson,AR,-43.3002,-65.1023,clear sky,68.83,37,3,17.4
285,Dakar,SN,14.6937,-17.4441,clear sky,73.4,78,0,11.5
286,Shubarshi,KZ,48.5872,57.1869,few clouds,51.76,53,17,13.98
287,Kropotkin,RU,45.4375,40.5756,light rain,42.01,82,100,3.42
288,Pasni,PK,25.2631,63.471,clear sky,79.32,70,0,12.03
289,Roma,US,43.2128,-75.4557,clear sky,77.0,40,1,5.75
290,Lorengau,PG,-2.0226,147.2712,moderate rain,80.47,82,100,15.03
291,Bacolod,PH,10.6667,122.95,broken clouds,78.51,78,54,9.28
292,Prince George,CA,53.9166,-122.753,overcast clouds,32.0,64,90,9.22
293,Olafsvik,IS,64.8945,-23.7142,overcast clouds,38.41,92,100,12.71
294,Gimbi,ET,9.1667,35.8333,overcast clouds,67.6,18,87,2.77
295,Klyuchi,RU,52.2667,79.1667,scattered clouds,36.81,81,50,16.33
296,Yarmouth,US,41.7057,-70.2286,clear sky,62.01,67,1,17.27
297,Khash,IR,28.2211,61.2158,scattered clouds,70.5,13,41,13.6
298,Baiyin,CN,36.5583,104.2081,overcast clouds,44.01,93,100,4.47
299,Karratha,AU,-20.7377,116.8463,overcast clouds,83.26,75,97,13.98
300,Naantali,FI,60.4674,22.0243,clear sky,39.2,65,0,8.05
301,Santiago,CL,-33.4569,-70.6483,scattered clouds,72.0,42,40,5.75
302,Dunedin,NZ,-45.8742,170.5036,overcast clouds,56.62,78,100,4.36
303,La Ronge,CA,55.1001,-105.2842,overcast clouds,37.4,56,100,10.36
304,Kangaatsiaq,GL,68.3065,-53.4641,overcast clouds,22.3,77,100,2.21
305,Brae,GB,60.3964,-1.353,overcast clouds,35.6,75,95,8.05
306,Minden,DE,52.2833,8.9167,overcast clouds,45.0,95,100,9.71
307,San Quintin,MX,30.4833,-115.95,scattered clouds,64.4,69,41,11.9
308,Sibay,RU,52.7181,58.6658,overcast clouds,33.96,99,100,2.28
309,Roros,NO,62.5747,11.3842,few clouds,30.2,55,20,5.75
310,Sendafa,ET,9.15,39.0333,broken clouds,71.6,26,75,13.8
311,Pingliang,CN,35.5392,106.6861,overcast clouds,45.07,94,100,0.63
312,Martinsicuro,IT,42.8811,13.9145,scattered clouds,54.0,72,44,7.14
313,Mahebourg,MU,-20.4081,57.7,scattered clouds,78.8,78,40,11.5
314,Fernie,CA,49.5,-115.0687,overcast clouds,39.2,86,100,12.66
315,Moen,NO,69.1304,18.6123,light snow,33.8,64,75,6.91
316,Andenes,NO,69.3143,16.1194,heavy intensity rain,35.6,87,90,21.85
317,Hostotipaquillo,MX,21.0667,-104.0667,clear sky,86.0,14,8,2.98
318,Ilulissat,GL,69.2167,-51.1,overcast clouds,21.2,86,90,4.61
319,Coquimbo,CL,-29.9533,-71.3436,clear sky,68.0,52,0,16.11
320,Naihati,IN,22.9028,88.4169,haze,82.4,89,20,6.91
321,Great Yarmouth,GB,52.6083,1.7305,few clouds,42.8,61,20,14.97
322,Aksha,RU,50.2814,113.2867,overcast clouds,31.42,44,92,8.19
323,Pontiac,US,42.6389,-83.2911,overcast clouds,73.0,43,90,10.36
324,Korla,CN,41.7597,86.1469,clear sky,57.54,40,2,2.64
325,Luwuk,ID,-0.9516,122.7875,overcast clouds,78.01,84,100,1.03
326,Huaidian,CN,33.4333,115.0333,light rain,49.55,80,86,7.14
327,Seoul,KR,37.5683,126.9778,clear sky,46.4,93,3,2.3
328,Tornio,FI,65.8481,24.1466,broken clouds,30.2,93,75,6.91
329,Kaitangata,NZ,-46.2817,169.8464,overcast clouds,57.99,75,100,4.0
330,Litovko,RU,49.2361,135.1742,broken clouds,44.56,44,65,12.17
331,Skogn,NO,63.7,11.2,broken clouds,37.4,75,75,12.66
332,Xining,CN,36.6167,101.7667,overcast clouds,37.74,96,100,1.74
333,Bam,IR,29.106,58.357,scattered clouds,78.51,12,37,10.49
334,Los Llanos De Aridane,ES,28.6585,-17.9182,few clouds,69.8,68,20,3.44
335,Aklavik,CA,68.2191,-135.0107,scattered clouds,-11.2,64,40,10.36
336,Souillac,MU,-20.5167,57.5167,scattered clouds,78.8,78,40,11.5
337,Antalaha,MG,-14.9003,50.2788,light rain,75.25,90,99,6.67
338,Pavlovka,RU,52.6897,47.1405,light rain,39.27,98,100,11.63
339,Tevriz,RU,57.509,72.4042,broken clouds,28.04,97,56,3.83
340,Nanortalik,GL,60.1432,-45.2371,overcast clouds,37.36,89,100,8.46
341,Husavik,IS,66.0449,-17.3389,clear sky,32.0,47,0,9.22
342,Fairbanks,US,64.8378,-147.7164,broken clouds,0.0,54,75,11.5
343,Khromtau,KZ,50.2503,58.4347,overcast clouds,31.46,98,98,12.15
344,Karasburg,NA,-28.0167,18.75,clear sky,83.14,19,0,8.03
345,Luderitz,NA,-26.6481,15.1594,clear sky,75.88,49,0,7.11
346,Rudsar,IR,37.1376,50.288,mist,55.4,94,90,4.61
347,San Juan,AR,-31.5375,-68.5364,overcast clouds,57.76,62,100,19.69
